,city,lat,lon,temp,humidity,wind,clouds,country,date
0,port alfred,-33.5906,26.891,69.01,90,5.01,29,ZA,1611001858
1,bluff,-46.6,168.3333,51.01,92,1.99,100,NZ,1611001858
2,lagunillas,10.1301,-71.2595,84.09,60,7.76,78,VE,1611001858
3,maltahohe,-24.8333,16.9833,78.87,26,14.32,60,NA,1611001859
4,albany,42.6001,-73.9662,37.99,67,9.64,100,US,1611001805
5,waddan,29.1614,16.139,53.19,42,7.34,0,LY,1611001859
6,baley,51.6,116.6333,-20.78,89,3.98,98,RU,1611001859
7,tuktoyaktuk,69.4541,-133.0374,-5.8,84,10.36,20,CA,1611001859
8,mataura,-46.1927,168.8643,51.01,92,1.99,95,NZ,1611001859
9,kapaa,22.0752,-159.319,69.8,73,25.32,90,US,1611001859
10,vaini,-21.2,-175.2,82.4,83,9.22,20,TO,1611001859
11,provideniya,64.3833,-173.3,-2.2,78,13.42,75,RU,1611001860
12,sao joao da barra,-21.6403,-41.0511,84.2,58,18.41,0,BR,1611001808
13,yellowknife,62.456,-114.3525,5.0,85,3.44,90,CA,1611001803
14,gizo,-8.103,156.8419,83.3,76,12.12,98,SB,1611001860
15,rikitea,-23.1203,-134.9692,78.71,75,14.23,46,PF,1611001860
16,upernavik,72.7868,-56.1549,12.78,91,7.87,57,GL,1611001860
17,urumqi,43.801,87.6005,-0.4,85,2.24,75,CN,1611001805
18,kuryk,43.2,51.65,36.21,82,14.94,100,KZ,1611001860
19,hilo,19.7297,-155.09,78.8,57,5.75,75,US,1611001850
20,anito,12.4497,125.2886,76.14,91,13.29,100,PH,1611001861
21,hermanus,-34.4187,19.2345,68.0,79,3.0,0,ZA,1611001861
22,hurricane,37.1753,-113.2899,59.0,19,4.61,1,US,1611001861
23,busselton,-33.65,115.3333,66.0,63,7.63,5,AU,1611001861
24,tiksi,71.6872,128.8694,-30.44,85,4.97,100,RU,1611001861
25,ushuaia,-54.8,-68.3,51.8,66,14.97,75,AR,1611001862
26,acapulco,16.8634,-99.8901,84.2,74,8.05,20,MX,1611001636
27,umm kaddadah,13.6017,26.6876,65.53,26,17.69,0,SD,1611001862
28,coquimbo,-29.9533,-71.3436,66.2,68,12.66,20,CL,1611001862
29,haines junction,60.7522,-137.5108,32.0,80,5.75,100,CA,1611001862
30,pangody,65.85,74.4859,-16.96,88,9.22,100,RU,1611001862
31,barrow,71.2906,-156.7887,-2.2,78,19.57,90,US,1611001862
32,havre-saint-pierre,50.2334,-63.5986,26.6,80,21.85,90,CA,1611001863
33,marang,5.2056,103.2059,77.0,73,2.3,40,MY,1611001863
34,souillac,-20.5167,57.5167,78.8,100,9.22,75,MU,1611001863
35,kahului,20.8947,-156.47,75.2,73,13.8,75,US,1611001863
36,berbera,10.4396,45.0143,75.25,72,4.21,1,SO,1611001863
37,bengkulu,-3.8004,102.2655,73.49,86,4.94,75,ID,1611001863
38,arraial do cabo,-22.9661,-42.0278,84.2,61,23.02,0,BR,1611001864
39,esperance,-33.8667,121.9,59.0,88,16.11,0,AU,1611001864
40,atuona,-9.8,-139.0333,78.39,78,17.16,36,PF,1611001864
41,hithadhoo,-0.6,73.0833,80.28,68,3.91,12,MV,1611001864
